index,address,rent
1,"142 W 57th St New York, NY 10019","$1,100.00 "
2,"12 E 49th St New York, NY 10017","$1,020.00 "
3,"349 5th Ave New York, NY 10016",$900.00 
4,"33 Irving Pl New York, NY 10003","$1,190.00 "
5,"428 Broadway New York, NY 10013","$1,000.00 "
6,"200 Broadway New York, NY 10038","$1,080.00 "
